state	ecv	population	vpc
TX	38	27469114	0.0000013834
CA	55	39144818	0.0000014050
FL	29	20271272	0.0000014306
NY	29	19795791	0.0000014650
NC	15	10042802	0.0000014936
OH	18	11613423	0.0000015499
VA	13	8382993	0.0000015508
IL	20	12859995	0.0000015552
PA	20	12802503	0.0000015622
NJ	14	8958013	0.0000015628
GA	16	10214860	0.0000015663
AZ	11	6828065	0.0000016110
MI	16	9922576	0.0000016125
MA	11	6794422	0.0000016190
MO	10	6083672	0.0000016437
CO	9	5456574	0.0000016494
IN	11	6619680	0.0000016617
MD	10	6006401	0.0000016649
TN	11	6600299	0.0000016666
WA	12	7170351	0.0000016736
LA	8	4670724	0.0000017128
WI	10	5771337	0.0000017327
OR	7	4028977	0.0000017374
OK	7	3911338	0.0000017897
KY	8	4425092	0.0000018079
MN	10	5489594	0.0000018216
SC	9	4896146	0.0000018382
AL	9	4858979	0.0000018522
IA	6	3123899	0.0000019207
CT	7	3590886	0.0000019494
UT	6	2995919	0.0000020027
MS	6	2992333	0.0000020051
AR	6	2978204	0.0000020146
KS	6	2911641	0.0000020607
NV	6	2890845	0.0000020755
NM	5	2085109	0.0000023980
ID	4	1654930	0.0000024170
NE	5	1896190	0.0000026369
WV	5	1844128	0.0000027113
HI	4	1431603	0.0000027941
MT	3	1032949	0.0000029043
NH	4	1330608	0.0000030061
ME	4	1329328	0.0000030090
DE	3	945934	0.0000031715
SD	3	858469	0.0000034946
RI	4	1056298	0.0000037868
ND	3	756927	0.0000039634
AK	3	738432	0.0000040627
DC	3	672228	0.0000044628
VT	3	626042	0.0000047920
WY	3	586107	0.0000051185
